0.0: Attitude:pitch=0.0242441482842,yaw=0.0995143353939,roll=0.0347929671407
0.101000070572: Attitude:pitch=0.0242383126169,yaw=0.0991708040237,roll=0.0345444269478
0.203000068665: Attitude:pitch=0.0242383126169,yaw=0.0991708040237,roll=0.0345444269478
0.302999973297: Attitude:pitch=0.0241883248091,yaw=0.0986447259784,roll=0.0344958603382
0.404000043869: Attitude:pitch=0.0241883248091,yaw=0.0986447259784,roll=0.0344958603382
0.506000041962: Attitude:pitch=0.0241883248091,yaw=0.0986447259784,roll=0.0344958603382
0.606999874115: Attitude:pitch=0.0242716781795,yaw=0.0986093059182,roll=0.0344959311187
0.707999944687: Attitude:pitch=0.0242716781795,yaw=0.0986093059182,roll=0.0344959311187
0.809000015259: Attitude:pitch=0.0242716781795,yaw=0.0986093059182,roll=0.0344959311187
0.910000085831: Attitude:pitch=0.0244002249092,yaw=0.0979296639562,roll=0.0344507992268
1.01099991798: Attitude:pitch=0.0244002249092,yaw=0.0979296639562,roll=0.0344507992268
1.11199998856: Attitude:pitch=0.0244002249092,yaw=0.0979296639562,roll=0.0344507992268
1.21300005913: Attitude:pitch=0.0243986994028,yaw=0.0976255089045,roll=0.0345558971167
1.31399989128: Attitude:pitch=0.0243986994028,yaw=0.0976255089045,roll=0.0345558971167
1.41499996185: Attitude:pitch=0.0243986994028,yaw=0.0976255089045,roll=0.0345558971167
1.51600003242: Attitude:pitch=0.0244601052254,yaw=0.0967357829213,roll=0.0356549993157
1.61800003052: Attitude:pitch=0.0244601052254,yaw=0.0967357829213,roll=0.0356549993157
1.71899986267: Attitude:pitch=0.0244601052254,yaw=0.0967357829213,roll=0.0356549993157
1.81999993324: Attitude:pitch=0.0244048964232,yaw=0.0964647606015,roll=0.0354302115738
1.92100000381: Attitude:pitch=0.0244048964232,yaw=0.0964647606015,roll=0.0354302115738
2.02200007439: Attitude:pitch=0.0244048964232,yaw=0.0964647606015,roll=0.0354302115738
2.12299990654: Attitude:pitch=0.0247869547457,yaw=0.0975160896778,roll=0.0360482893884
2.22399997711: Attitude:pitch=0.0247869547457,yaw=0.0975160896778,roll=0.0360482893884
2.3259999752: Attitude:pitch=0.0247869547457,yaw=0.0975160896778,roll=0.0360482893884
2.42700004578: Attitude:pitch=0.0243974421173,yaw=0.0971810519695,roll=0.0357230044901
2.52799987793: Attitude:pitch=0.0243974421173,yaw=0.0971810519695,roll=0.0357230044901
2.6289999485: Attitude:pitch=0.0243974421173,yaw=0.0971810519695,roll=0.0357230044901
2.73000001907: Attitude:pitch=0.0248841475695,yaw=0.0970479696989,roll=0.0361444763839
2.83100008965: Attitude:pitch=0.0248841475695,yaw=0.0970479696989,roll=0.0361444763839
2.9319999218: Attitude:pitch=0.0248841475695,yaw=0.0970479696989,roll=0.0361444763839
3.03399991989: Attitude:pitch=0.0247780364007,yaw=0.095677614212,roll=0.0364329479635
3.13499999046: Attitude:pitch=0.0247780364007,yaw=0.095677614212,roll=0.0364329479635
3.23600006104: Attitude:pitch=0.0247780364007,yaw=0.095677614212,roll=0.0364329479635
3.33699989319: Attitude:pitch=0.0248293243349,yaw=0.0969798266888,roll=0.0358917638659
3.43799996376: Attitude:pitch=0.0248293243349,yaw=0.0969798266888,roll=0.0358917638659
3.53900003433: Attitude:pitch=0.0248572602868,yaw=0.0973460823298,roll=0.0357050448656
3.63999986649: Attitude:pitch=0.0248572602868,yaw=0.0973460823298,roll=0.0357050448656
3.74099993706: Attitude:pitch=0.0248572602868,yaw=0.0973460823298,roll=0.0357050448656
3.84200000763: Attitude:pitch=0.024749128148,yaw=0.096551194787,roll=0.0357642881572
3.9430000782: Attitude:pitch=0.024749128148,yaw=0.096551194787,roll=0.0357642881572
4.04399991035: Attitude:pitch=0.024749128148,yaw=0.096551194787,roll=0.0357642881572
4.14499998093: Attitude:pitch=0.0260333009064,yaw=0.0960941016674,roll=0.0347561687231
4.2460000515: Attitude:pitch=0.0260333009064,yaw=0.0960941016674,roll=0.0347561687231
4.34699988365: Attitude:pitch=0.0260333009064,yaw=0.0960941016674,roll=0.0347561687231
4.44799995422: Attitude:pitch=0.025511726737,yaw=0.0975182875991,roll=0.0350303798914
4.5490000248: Attitude:pitch=0.025511726737,yaw=0.0975182875991,roll=0.0350303798914
4.65100002289: Attitude:pitch=0.025511726737,yaw=0.0975182875991,roll=0.0350303798914
4.75200009346: Attitude:pitch=0.0254750940949,yaw=0.0962213873863,roll=0.0355013012886
4.85299992561: Attitude:pitch=0.0254750940949,yaw=0.0962213873863,roll=0.0355013012886
4.95399999619: Attitude:pitch=0.0254750940949,yaw=0.0962213873863,roll=0.0355013012886
5.05500006676: Attitude:pitch=0.0252031907439,yaw=0.0955566614866,roll=0.0357046723366
5.15599989891: Attitude:pitch=0.0252031907439,yaw=0.0955566614866,roll=0.0357046723366
5.25699996948: Attitude:pitch=0.025230737403,yaw=0.0969808325171,roll=0.0363498032093
5.35800004005: Attitude:pitch=0.025230737403,yaw=0.0969808325171,roll=0.0363498032093
5.45899987221: Attitude:pitch=0.025230737403,yaw=0.0969808325171,roll=0.0363498032093
5.55999994278: Attitude:pitch=0.0250205304474,yaw=0.0964299887419,roll=0.0362130366266
5.66100001335: Attitude:pitch=0.0250205304474,yaw=0.0964299887419,roll=0.0362130366266
5.76200008392: Attitude:pitch=0.0250205304474,yaw=0.0964299887419,roll=0.0362130366266
5.86299991608: Attitude:pitch=0.0251761320978,yaw=0.0978890955448,roll=0.0357899330556
5.96399998665: Attitude:pitch=0.0251761320978,yaw=0.0978890955448,roll=0.0357899330556
6.06500005722: Attitude:pitch=0.0251761320978,yaw=0.0978890955448,roll=0.0357899330556
6.16599988937: Attitude:pitch=0.0252301450819,yaw=0.0966310799122,roll=0.0359885618091
6.26699995995: Attitude:pitch=0.0252301450819,yaw=0.0966310799122,roll=0.0359885618091
6.36800003052: Attitude:pitch=0.0252301450819,yaw=0.0966310799122,roll=0.0359885618091
6.46899986267: Attitude:pitch=0.0254291109741,yaw=0.0962160080671,roll=0.0363475941122
6.56999993324: Attitude:pitch=0.0254291109741,yaw=0.0962160080671,roll=0.0363475941122
6.67100000381: Attitude:pitch=0.0254291109741,yaw=0.0962160080671,roll=0.0363475941122
6.77300000191: Attitude:pitch=0.0256231576204,yaw=0.0960964560509,roll=0.0365342646837
6.87400007248: Attitude:pitch=0.0256231576204,yaw=0.0960964560509,roll=0.0365342646837
6.97499990463: Attitude:pitch=0.0256231576204,yaw=0.0960964560509,roll=0.0365342646837
7.0759999752: Attitude:pitch=0.0256772171706,yaw=0.0965465456247,roll=0.0364318564534
7.17700004578: Attitude:pitch=0.0256772171706,yaw=0.0965465456247,roll=0.0364318564534
7.27900004387: Attitude:pitch=0.0257426463068,yaw=0.0954989343882,roll=0.0359957106411
7.37999987602: Attitude:pitch=0.0257426463068,yaw=0.0954989343882,roll=0.0359957106411
7.48099994659: Attitude:pitch=0.0257426463068,yaw=0.0954989343882,roll=0.0359957106411
7.58200001717: Attitude:pitch=0.0257199127227,yaw=0.0966776311398,roll=0.0356944054365
7.68300008774: Attitude:pitch=0.0257199127227,yaw=0.0966776311398,roll=0.0356944054365
7.78399991989: Attitude:pitch=0.0257199127227,yaw=0.0966776311398,roll=0.0356944054365
7.88499999046: Attitude:pitch=0.0255834050477,yaw=0.0942917391658,roll=0.0364166535437
7.98600006104: Attitude:pitch=0.0255834050477,yaw=0.0942917391658,roll=0.0364166535437
8.08699989319: Attitude:pitch=0.0255834050477,yaw=0.0942917391658,roll=0.0364166535437
8.18799996376: Attitude:pitch=0.0271161366254,yaw=0.096088796854,roll=0.0350385829806
8.28900003433: Attitude:pitch=0.0271161366254,yaw=0.096088796854,roll=0.0350385829806
8.38999986649: Attitude:pitch=0.0271161366254,yaw=0.096088796854,roll=0.0350385829806
8.49099993706: Attitude:pitch=0.0259313620627,yaw=0.0949927642941,roll=0.0355557724833
8.59299993515: Attitude:pitch=0.0259313620627,yaw=0.0949927642941,roll=0.0355557724833
8.69400000572: Attitude:pitch=0.0259313620627,yaw=0.0949927642941,roll=0.0355557724833
8.79500007629: Attitude:pitch=0.026415226981,yaw=0.0953180044889,roll=0.0359328463674
8.89599990845: Attitude:pitch=0.026415226981,yaw=0.0953180044889,roll=0.0359328463674
8.99900007248: Attitude:pitch=0.026415226981,yaw=0.0953180044889,roll=0.0359328463674
9.09999990463: Attitude:pitch=0.0265028961003,yaw=0.0936387553811,roll=0.0347300879657
9.2009999752: Attitude:pitch=0.0265028961003,yaw=0.0936387553811,roll=0.0347300879657
9.30200004578: Attitude:pitch=0.0265028961003,yaw=0.0936387553811,roll=0.0347300879657
9.40299987793: Attitude:pitch=0.0251585077494,yaw=0.0944170206785,roll=0.0356111899018
9.5039999485: Attitude:pitch=0.0251585077494,yaw=0.0944170206785,roll=0.0356111899018
9.60500001907: Attitude:pitch=0.0251585077494,yaw=0.0944170206785,roll=0.0356111899018
9.70700001717: Attitude:pitch=0.0255180839449,yaw=0.0935338139534,roll=0.0354733727872
9.80800008774: Attitude:pitch=0.0255180839449,yaw=0.0935338139534,roll=0.0354733727872
9.90899991989: Attitude:pitch=0.0275072511286,yaw=0.092291392386,roll=0.0335638076067
10.010999918: Attitude:pitch=0.0275072511286,yaw=0.092291392386,roll=0.0335638076067
10.1119999886: Attitude:pitch=0.0275072511286,yaw=0.092291392386,roll=0.0335638076067
10.2130000591: Attitude:pitch=0.0282090120018,yaw=0.0948821976781,roll=0.0333801731467
10.3139998913: Attitude:pitch=0.0282090120018,yaw=0.0948821976781,roll=0.0333801731467
